count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
15,0,18,,,1920,,{},124,,Amarakaeri (SAPHON 1920),1368,,http://linguistics.berkeley.edu/~saphon/en/inv/Amarakaeri.html
38,3,10,,,1091,,{},1874,,Ambele (PH 1091),1775,,
18,0,5,,,1684,,{},226,,Ambon Malay (GM 1684),2114,,
15,0,5,,,202,,{},1001,,AMELE (UPSID 202),1275,,http://web.phonetik.uni-frankfurt.de/L/L8635.html
24,0,15,,,2176,,{},311,,American English (UZ 2176),844,,
52,0,7,,,131,,{},1999,,Amharic (SPA 131),160,,https://archive.org/details/amh_SPA1979_phon
30,0,7,,,219,,{},1999,,AMHARIC (UPSID 219),2400,,http://web.phonetik.uni-frankfurt.de/L/L4352.html
61,0,7,,,2156,,{},1999,,Amharic (UZ 2156),2000,,
25,0,10,,,220,,{},53,,AMO (UPSID 220),2198,,http://web.phonetik.uni-frankfurt.de/L/L4122.html
23,0,6,,,112,,{},1540,,Amuesha (SPA 112),2167,,https://archive.org/details/ame_SPA1979_phon
23,0,3,,,217,,{},1540,,AMUESHA (UPSID 217),406,,http://web.phonetik.uni-frankfurt.de/L/L6824.html
14,0,12,,,2070,,{},1204,,Amundava (SAPHON 2070),2262,,http://linguistics.berkeley.edu/~saphon/en/inv/Amundava.html
21,0,3,,,2666,,{},545,,Amurdak (ER 2666),2958,,
25,0,12,,,222,,{},87,,AMUZGO (UPSID 222),2031,,http://web.phonetik.uni-frankfurt.de/L/L6770.html
18,0,6,,,2021,,{},129,,Ancash Quechua (SAPHON 2021),2411,,http://linguistics.berkeley.edu/~saphon/en/inv/AncashQ.html
25,0,10,,,1702,,{},1320,,Andamanese (RA 1702),1025,,
16,0,8,,,227,,{},1320,,ANDAMANESE (UPSID 227),2633,,http://web.phonetik.uni-frankfurt.de/L/L8600.html
63,0,5,,,2465,,{},1095,,Andi (EA 2465),845,,http://eurphon.info/languages/html?lang_id=72
